COD_FORNECEDOR;RAZAO;NOME PRODUTO;COD_ERP;SITUACAO; DOC_FORNECEDOR ;STATUS
A.C.PASQUOTTO & CIA LTDA;;;;;;4,34702E+13
876;A.C.PASQUOTTO & CIA LTDA;PE.COLORIFICO ACOUGUE KG;1290;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;FARINHA DE ROSCA PAO FRANCES INT.KG;1522;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA SOJA SHOYU 900ML;11519;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA DENDE 100ML;12011;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA PIMENTA TRADICIONAL 150ML;12014;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;EXTRATO MARPA PIMENTA EXTRA FORTE 100ML;12020;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;CANJIQUINHA MARPA XEREM 500G;12090;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA INGLES 150ML;12439;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA SOJA SHOYU 150ML;12936;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;PIMENTA MARPA MALAGUETA VERMELHA 70G;13172;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;PIMENTA MARPA MALAGUETA VERDE 70G;13173;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA P/SALADA PARMESAN 240ML;14304;COMPRA SUSPENSA; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA P/SALADA FRENCH 240ML;14305;COMPRA SUSPENSA; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA P/SALADA LIMAO 240ML;14316;COMPRA SUSPENSA; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA ARABE TRADICIONAL 150ML;14317;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA ARABE C/PIMENTA 150ML;14321;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA PIMENTA TRADICIONAL 900ML;14504;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA ALHO 150ML;14607;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALHO MARPA PURO PICADO 200G PT;14838;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALHO MARPA PURO PICADO 400G PT;14839;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;AMIDO DE MILHO MARPA 500G;15334;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALHO MARPA PURO PICADO 1KG PT;15335;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MOLHO MARPA PIMENTA CALABRESA 150ML;15716;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALIMENTO MARPA P/PASSARO PAINCO 1KG;22969;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALIMENTO MARPA P/PASSARO GIRASSOL M 1KG;24652;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALIMENTO MARPA P/PASSARO GIRASSOL G 1KG;24762;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALIMENTO MARPA P/PASSARO ALPISTE 500G;25629;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALIMENTO MARPA P/PASSARO GIRASSOL 250G;25630;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALIMENTO MARPA P/PASSARO PAINCO 500G;25631;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;PIMENTA MARPA REINO EM GRAOS 50G;30007;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;FARINHA MARPA MANDIOCA CARNE SECA 350G;30117;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;BICARBONATO SODIO MARPA 50G;30147;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;CAMOMILA MARPA 10G;30350;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;CANELA MARPA EM CASCA 10G;30351;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;COLORIFICO MARPA 50G;30353;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;CRAVO DA INDIA MARPA 10G;30354;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;LOURO MARPA EM FOLHAS 5G;30355;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;NOZ-MOSCADA MARPA 5G;30356;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;OREGANO MARPA 10G;30358;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;PIMENTA MARPA REINO MOIDA 50G;30359;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;COENTRO MARPA MOIDO 20G;30366;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ACAFRAO MARPA 20G;30369;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;CANELA MARPA EM PO 20G;30417;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;CANJICA MARPA BRANCA 500G;30506;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MANJERONA MARPA 10G;30543;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ERVILHA MARPA PARTIDA 500G;30598;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;FARINHA MARPA MANDIOCA TORRADA 500G;30600;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;TEMPERO MARPA BAIANO 50G;30617;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALHO MARPA EM FLOCOS 20G;30711;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;MANJERICAO MARPA 10G;30713;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;SALSA MARPA DESIDRATADA 10G;30714;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;TEMPERO MARPA EXTRA FORTE 300G;30715;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;TEMPERO MARPA SAL E ALHO 300G;30716;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;TEMPERO MARPA COMPLETO S/PIMENTA 300G;30717;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;FARINHA MARPA MANDIOCA GROSSA 1KG;30718;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;ALIMENTO MARPA P/PASSARO CANARIO V 200G;30758;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;OREGANO MARPA 50G;30764;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;COLORIFICO MARPA 200G;30781;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;TEMPERO MARPA COMPLETO C/PIMENTA 300G;30782;ATIVO; 43.470.228.000.158 ;PRATA
876;A.C.PASQUOTTO & CIA LTDA;POLVILHO MARPA DOCE 500G;30787;ATIVO; 43.470.228.000.158 ;PRATA
